8.75,-3.96,2.55,1.45,-3.40,-0.73
8.79,-2.94,2.59,-0.08,0.53,-0.89
8.67,-2.55,2.94,0.43,0.15,0.20
13.30,0.16,-2.67,-0.04,0.06,0.14
8.43,-3.53,3.02,-0.68,0.11,0.12
8.20,-3.88,2.55,-0.69,0.15,0.09
8.16,-4.51,2.39,-0.31,0.05,-0.11
8.90,-3.61,2.79,0.06,0.01,-0.13
8.55,-3.96,3.30,-0.17,0.04,-0.07
8.59,-4.08,2.86,-0.22,0.01,-0.11
8.12,-3.73,2.75,-0.09,0.01,-0.17
9.41,-3.69,2.04,0.19,0.01,-0.19
8.67,-2.98,3.69,0.01,0.06,-0.10
8.67,-3.96,3.02,-0.32,0.08,-0.02
8.75,-4.35,2.71,-0.24,0.06,-0.08
8.83,-4.39,2.86,-0.00,0.10,-0.06
8.94,-4.16,3.53,0.11,0.04,-0.06
9.02,-4.28,3.18,0.15,0.14,-0.06
9.18,-5.30,3.57,0.33,0.13,-0.02
9.81,-5.65,2.98,1.01,-0.04,0.02
9.14,-3.73,3.41,1.71,0.12,0.22
7.88,-2.51,3.14,1.86,0.14,0.25
8.63,-2.79,3.10,1.93,0.03,0.16
8.24,-2.28,3.49,1.82,0.08,0.05
7.88,-2.43,3.88,1.53,0.05,-0.05
7.77,-2.35,3.41,1.28,0.00,0.01
7.81,-1.92,3.49,0.97,0.09,-0.11
8.00,-2.00,3.61,0.76,0.08,-0.19
8.20,-1.18,3.69,0.45,0.05,-0.09
7.92,-1.96,3.45,-0.05,0.05,-0.17
8.55,-1.92,3.65,-0.13,-0.06,-0.10
9.02,-2.31,3.37,-0.13,-0.09,-0.03
8.71,-2.12,3.45,-0.08,0.03,0.04
8.55,-1.69,3.61,-0.10,-0.04,-0.13
9.22,-3.02,3.26,-0.09,-0.09,-0.16
8.63,-1.92,3.96,0.05,-0.13,-0.04
8.36,-1.61,4.20,-0.01,-0.13,-0.11
8.39,-2.59,3.69,-0.12,-0.16,-0.24
8.98,-2.08,3.80,0.30,-0.11,0.05
8.87,-1.53,4.04,0.30,-0.11,0.03
8.98,-2.31,3.65,0.20,-0.10,-0.02
8.47,-1.49,3.73,0.26,-0.09,-0.00
8.75,-1.65,3.65,0.21,-0.08,-0.19
8.98,-1.14,3.57,0.07,-0.11,-0.40
8.47,-1.26,3.57,-0.11,0.05,-0.59
8.98,-0.59,3.26,-0.39,0.07,-0.65
9.41,-1.57,2.98,-0.65,0.13,-0.68
9.53,-0.94,3.53,-0.74,0.24,-0.42
8.75,-1.45,3.14,-0.90,0.14,-0.47
9.22,-1.65,3.22,-0.42,0.18,-0.16
8.75,-1.33,3.65,0.15,0.19,-0.05
