-6.51,-8.28,2.00,1.23,-1.00,0.06
-7.69,-5.96,2.08,1.23,-0.01,-0.76
-7.57,-7.06,2.55,0.69,0.25,-0.12
-5.37,-5.65,2.98,0.26,0.51,0.39
-7.26,-7.37,2.98,-0.31,0.58,0.64
-6.51,-4.94,2.20,-0.90,0.96,0.84
-18.71,1.73,-16.08,0.39,4.25,-0.47
-9.06,-6.08,-4.04,-0.71,-2.71,-0.74
-4.59,-13.22,2.79,-0.29,-2.40,-0.15
-1.53,-6.08,4.59,0.05,-2.12,0.88
-4.12,-8.79,4.67,1.05,-0.80,0.44
-5.77,-7.26,5.73,1.51,-0.05,-0.75
-6.12,-5.06,4.24,0.87,0.09,-0.67
-7.88,-8.04,3.37,0.27,0.26,-0.74
-7.02,-7.65,3.10,1.24,-0.38,-1.71
-5.41,-5.69,4.08,2.00,-0.90,-2.36
-6.08,-5.81,4.28,1.73,-0.65,-1.65
-6.08,-6.47,4.28,1.04,-1.15,-0.58
-4.43,-6.43,4.82,0.83,-1.39,-0.52
-3.26,-6.28,5.96,0.68,-0.99,-1.15
-3.92,-5.02,6.51,0.17,-0.46,-0.60
-4.39,-4.20,5.45,-0.77,-0.16,0.05
-5.30,-9.38,3.80,-1.61,0.07,0.16
-5.14,-9.10,3.77,-1.64,0.08,0.33
-4.12,-7.57,3.65,-1.86,0.20,0.30
-4.67,-12.20,0.82,-2.02,0.74,0.36
-7.14,-12.55,0.63,-0.37,0.19,0.57
-5.81,-9.45,2.24,0.82,-0.35,-0.37
-2.98,-9.77,3.77,1.79,0.02,-1.92
-2.79,-9.26,4.71,1.88,0.18,-1.33
-2.75,-7.65,3.96,0.94,0.42,-0.40
-4.79,-7.22,3.37,0.65,0.36,0.03
-6.35,-7.34,2.75,1.28,0.10,-0.87
-3.88,-6.71,4.86,2.01,-0.78,-2.06
-1.96,-6.08,6.63,1.59,-1.53,-1.62
-1.69,-7.49,6.51,0.52,-1.19,-0.57
-2.75,-6.75,5.96,0.36,-0.44,-0.55
-3.30,-7.73,5.73,0.33,-0.22,-0.68
-2.35,-9.89,6.35,0.65,-0.35,-0.72
-1.53,-8.71,6.86,1.03,-0.10,-1.06
-0.67,-6.75,6.55,0.67,-0.12,-0.94
-2.31,-5.22,4.79,-0.55,0.17,0.05
-3.06,-8.98,4.16,-1.03,-0.72,1.01
-2.08,-9.38,3.88,-0.22,-1.09,0.45
-3.02,-8.51,5.45,0.75,-0.91,-0.54
-1.45,-13.10,7.88,0.40,-1.17,0.35
-1.57,-14.00,8.08,-0.73,-1.03,1.43
-2.35,-12.87,7.41,-0.61,0.25,1.50
-2.39,-10.20,7.69,-0.69,0.79,1.39
-2.12,-8.98,6.24,-1.82,1.34,2.03
-4.51,-10.51,3.77,-2.61,0.38,2.86
-4.24,-6.98,4.86,-1.83,-0.91,2.39
-2.79,-8.28,4.51,-2.03,-0.90,1.98
-2.04,-6.71,3.77,-1.84,-0.50,1.58
-3.18,-7.30,1.84,-1.48,0.19,0.82
-2.31,-5.26,2.47,-1.03,-0.00,0.44
-2.94,-9.61,1.18,-1.18,-0.65,0.33
-1.14,-10.71,3.41,0.65,-1.37,-0.57
1.29,-6.39,6.20,1.73,-1.69,-1.19
1.22,-7.65,5.69,0.37,-0.50,-0.49
-1.84,-10.40,4.16,-0.25,-0.06,0.00
-1.45,-7.49,5.41,0.68,-0.12,-0.50
-1.26,-6.43,6.59,1.11,0.05,-0.72
-0.78,-9.49,5.10,0.46,0.20,-0.05
-2.00,-7.49,5.18,0.70,0.43,-0.17
-2.47,-7.06,5.45,1.17,0.72,-0.70
-2.63,-8.67,5.69,0.86,0.18,-0.34
-2.86,-8.04,5.33,0.53,-0.10,0.05
-2.86,-8.12,4.55,0.57,-0.23,0.05
-2.71,-8.24,5.69,1.00,-0.53,-0.48
-1.84,-10.04,7.26,0.93,-0.62,-0.28
-1.41,-9.53,6.39,0.31,-0.11,-0.02
-2.75,-6.35,7.02,1.06,0.71,-0.51
-2.20,-7.41,7.53,0.88,0.60,-0.47
-1.45,-7.53,7.85,0.71,0.25,-0.23
-1.65,-6.83,7.96,0.70,0.69,-0.18
-1.73,-5.77,7.34,0.65,0.83,-0.47
-2.04,-7.18,7.02,0.15,0.81,-0.28
-2.04,-6.43,7.02,0.63,0.26,-0.16
-2.51,-4.51,6.67,0.76,0.23,-0.38
-3.57,-5.37,8.00,0.26,0.37,-0.50
-1.57,-7.10,7.61,-0.06,0.40,0.03
-3.30,-5.57,6.90,0.10,0.50,-0.16
-1.80,-10.08,11.18,-0.54,0.57,-0.14
-3.45,-7.73,6.83,-0.61,0.58,0.16
-3.73,-3.73,6.32,-0.18,0.13,-0.01
-3.57,-5.02,7.37,0.21,-0.37,-0.47
-5.77,-4.75,7.45,1.31,-2.05,-1.33
-1.92,-5.92,6.63,1.73,-2.59,-1.07
-1.26,-7.10,9.22,2.52,-0.91,-0.32
-1.02,-7.53,12.87,2.02,-0.56,0.32
-1.88,-5.53,10.40,1.44,-1.53,0.57
-1.37,-3.33,9.73,1.73,-2.82,0.91
0.94,-2.98,9.18,2.30,-2.82,1.91
1.37,-2.35,8.24,2.38,-2.55,2.64
1.61,-0.75,8.28,1.86,-1.83,2.41
1.53,-1.88,8.32,1.19,-0.99,2.17
2.75,-2.39,8.43,1.54,-0.50,1.90
2.86,-1.18,8.98,2.59,-0.08,2.21
1.65,-0.35,8.71,2.93,-0.40,2.95
-0.35,2.39,11.14,2.61,-0.86,2.62
0.08,1.22,9.61,1.66,-1.66,1.92
2.55,-0.75,7.26,1.28,-2.86,1.68
4.43,-0.63,8.20,1.72,-2.29,1.98
5.14,0.86,8.36,1.26,-0.72,1.21
4.94,1.02,5.61,1.02,0.67,0.85
3.14,0.86,6.55,0.71,1.42,1.34
3.10,1.61,8.71,0.90,0.97,1.14
2.86,1.88,9.45,0.30,0.63,0.83
2.98,0.98,8.79,0.12,0.33,0.76
3.14,0.98,9.10,0.12,0.69,1.18
2.55,0.59,9.41,0.00,1.38,1.00
2.51,0.08,8.24,-0.20,0.80,1.10
2.51,0.75,10.00,-0.02,0.27,1.36
1.45,0.24,9.77,-0.43,-0.31,1.28
2.47,0.20,8.90,-0.32,-0.90,1.16
2.63,-0.20,8.32,-0.14,-0.99,0.81
4.12,-0.67,8.94,-0.12,-0.89,0.67
4.51,-1.14,7.65,-0.30,-0.95,0.89
5.06,-0.51,7.30,0.43,-0.87,1.29
5.14,0.04,7.45,1.12,-0.01,1.43
5.18,1.02,8.24,1.44,1.50,1.14
3.30,1.14,7.61,1.12,2.21,0.81
3.37,-0.43,7.65,0.73,2.85,0.78
2.55,1.45,9.22,0.78,3.57,1.07
0.55,2.94,7.73,1.21,4.31,1.24
-0.20,3.45,7.37,1.24,4.68,1.30
-3.73,2.67,7.57,0.91,4.98,1.18
-6.63,1.69,9.49,0.90,4.98,0.49
-6.83,2.75,10.04,0.44,3.89,-0.09
-5.02,2.98,9.38,-0.25,1.58,0.48
-6.51,3.10,7.88,-0.53,0.86,0.10
-8.71,2.04,8.16,-0.12,0.88,0.07
-6.35,1.29,9.69,0.07,1.42,0.06
-4.67,3.14,6.71,0.31,1.08,0.84
-4.67,2.28,7.26,0.88,1.35,1.24
-7.77,1.61,7.77,0.45,0.79,1.13
-7.85,2.82,9.06,0.59,0.71,0.66
-6.47,2.55,8.24,0.71,-0.33,0.58
-6.12,4.47,7.02,0.73,-0.25,1.19
-4.90,4.04,5.69,0.16,-0.84,1.16
-5.45,3.37,5.69,0.45,-0.04,1.14
-6.83,4.86,5.96,-0.27,0.92,1.41
-5.18,4.47,5.92,-0.68,1.24,0.99
-5.61,4.90,7.45,-0.57,1.00,0.58
-5.53,5.81,5.69,-1.05,0.09,1.14
-5.77,3.84,6.94,-0.16,0.50,1.09
-6.35,7.49,7.30,0.87,-0.08,0.95
-4.94,5.96,5.53,1.04,-0.98,1.99
-4.67,4.31,6.71,0.99,-0.90,2.10
-4.90,7.02,6.24,0.67,-0.68,1.75
-3.88,4.31,6.24,0.03,-0.41,1.28
-2.55,4.24,6.90,0.04,-0.10,0.22
-4.00,5.49,8.00,-0.52,0.10,0.02
