14.87,-4.31,5.22,-0.01,0.02
13.69,-2.71,3.18,0.56,-0.71
12.04,-0.94,3.26,-0.80,-0.91
11.18,-2.51,2.20,1.05,0.56
11.45,-2.39,2.67,1.43,1.09
11.85,-1.29,2.47,1.52,1.10
9.89,-0.82,2.16,1.92,1.37
8.00,-0.75,1.80,1.99,1.60
7.85,-1.61,1.73,1.98,1.82
7.22,-2.55,1.69,1.84,1.82
7.14,-3.18,1.96,1.72,1.72
7.02,-3.18,2.24,1.50,1.36
6.16,-2.12,2.71,1.10,0.84
6.24,-2.51,2.79,0.70,0.49
8.59,-3.02,2.43,0.02,-0.15
9.81,-2.51,2.71,-0.51,-0.63
11.14,-3.33,3.18,-0.92,-0.95
11.22,-1.61,3.10,-1.59,-1.51
10.40,0.55,3.10,-1.66,-1.23
11.49,-0.08,2.75,-1.63,-1.06
11.96,-0.08,2.35,-1.58,-1.12
9.57,0.43,2.98,-1.50,-1.03
7.37,0.39,3.06,-1.45,-0.94
6.12,-0.16,3.06,-1.32,-0.92
5.73,-0.94,3.37,-1.20,-0.93
6.51,-1.41,3.80,-1.11,-0.90
8.00,-1.80,4.51,-1.03,-0.85
8.94,-2.08,4.63,-0.90,-0.81
8.63,-1.92,4.63,-0.53,-0.63
8.87,-1.88,4.86,-0.29,-0.36
9.41,-2.20,4.75,-0.21,-0.25
10.55,-2.31,4.59,-0.00,-0.13
13.77,-3.65,5.14,0.10,0.03
15.69,-4.08,3.61,0.25,-0.02
13.02,-0.86,3.73,0.91,0.52
11.53,-2.39,2.98,1.16,1.07
10.79,-3.92,2.59,1.18,1.19
10.32,-2.67,2.86,1.37,1.33
9.73,-1.61,2.79,1.61,1.52
8.55,-1.37,2.24,2.00,1.80
7.85,-1.45,1.96,2.16,1.98
6.98,-1.53,1.84,2.15,1.95
7.41,-1.96,2.39,1.96,1.83
7.88,-3.18,2.39,1.77,1.66
7.41,-4.20,2.35,1.62,1.48
6.90,-3.41,2.55,1.27,1.06
7.85,-2.67,2.63,0.58,0.45
8.47,-1.57,2.63,0.11,0.04
7.45,-0.67,2.59,-0.42,-0.31
8.12,-1.41,3.53,-0.69,-0.62
9.49,-3.53,3.45,-1.20,-1.18
10.24,-1.65,4.08,-1.62,-1.62
9.81,0.43,4.94,-1.87,-1.56
10.67,0.20,4.08,-2.17,-1.66
10.20,-0.75,3.33,-2.03,-1.74
8.67,-0.63,3.22,-1.77,-1.76
7.49,0.35,3.49,-1.36,-1.58
6.90,-0.71,3.06,-1.14,-1.44
7.14,-2.00,3.18,-1.12,-1.42
7.69,-2.94,3.45,-1.12,-1.43
7.96,-2.43,4.16,-1.00,-1.28
7.92,-2.43,4.59,-0.90,-1.06
8.75,-3.33,4.16,-0.79,-0.79
10.00,-3.49,3.96,-0.61,-0.55
10.63,-1.92,3.80,-0.37,-0.32
13.30,-3.30,4.16,-0.21,0.03
15.53,-3.18,2.24,-0.13,0.01
14.28,0.04,2.79,0.72,0.53
14.24,-0.75,2.04,1.06,1.15
13.30,-1.73,1.73,1.18,1.38
11.96,-0.86,2.04,1.40,1.69
10.00,-0.35,2.39,1.65,2.05
8.12,-0.82,2.20,1.76,2.30
7.41,-1.37,1.96,1.87,2.55
7.02,-1.80,2.00,1.91,2.59
7.18,-2.51,2.12,1.88,2.48
7.02,-3.14,2.20,1.68,2.04
6.79,-3.41,2.16,1.40,1.45
6.63,-3.57,2.39,1.20,1.07
7.10,-3.96,2.51,0.73,0.41
8.20,-2.94,2.59,0.32,-0.09
8.16,-1.33,3.26,-0.25,-0.56
9.65,-3.14,3.45,-0.85,-1.02
10.59,-2.12,3.14,-1.19,-1.54
10.36,0.27,4.16,-1.36,-1.47
10.79,-0.27,3.77,-1.55,-1.40
10.75,-0.04,3.53,-1.70,-1.57
9.41,0.24,3.41,-1.70,-1.55
7.69,-0.47,2.90,-1.44,-1.46
6.98,-0.94,2.71,-1.31,-1.37
6.79,-1.22,2.71,-1.18,-1.33
7.14,-1.26,3.10,-1.08,-1.24
7.65,-1.69,3.53,-1.03,-1.16
7.65,-2.12,3.96,-0.90,-1.05
8.24,-2.43,4.35,-0.81,-0.84
9.69,-2.82,4.20,-0.78,-0.71
10.71,-3.30,4.12,-0.65,-0.46
11.22,-2.75,4.00,-0.47,-0.27
14.08,-4.12,4.39,-0.42,0.01
14.67,-2.63,2.86,0.09,0.18
12.08,0.00,2.79,0.70,0.66
11.85,-1.69,2.00,1.08,1.19
11.65,-1.88,2.28,1.29,1.37
10.71,-0.98,2.63,1.47,1.47
9.18,-1.18,2.35,1.73,1.70
7.73,-1.53,2.28,1.79,1.88
7.69,-1.61,2.00,1.77,1.95
8.00,-1.65,1.77,1.76,1.98
8.20,-2.12,2.04,1.66,1.84
8.28,-2.67,1.92,1.54,1.67
7.61,-3.14,1.96,1.28,1.24
7.22,-3.61,2.20,1.06,0.71
7.37,-3.49,2.51,0.63,0.28
7.85,-2.67,2.59,0.09,-0.37
8.20,-1.96,3.61,-0.19,-0.60
9.26,-3.41,3.53,-0.65,-1.10
10.51,-2.59,3.49,-1.08,-1.70
10.43,-0.20,4.24,-1.25,-1.64
10.43,-0.35,4.16,-1.53,-1.54
10.83,0.00,3.73,-1.67,-1.51
8.94,0.20,3.14,-1.48,-1.38
6.83,-0.27,2.71,-1.05,-1.18
5.96,-1.02,2.63,-0.89,-1.05
6.43,-2.12,2.86,-0.90,-1.09
7.26,-2.39,3.49,-0.96,-1.14
7.88,-2.51,4.04,-0.90,-1.11
7.96,-2.31,4.28,-0.80,-1.04
8.36,-2.43,4.43,-0.66,-0.85
9.96,-3.22,4.12,-0.55,-0.63
10.67,-3.10,3.84,-0.38,-0.45
11.38,-2.47,4.43,-0.13,-0.08
15.26,-4.20,3.73,-0.26,-0.02
13.85,-1.53,3.33,0.24,0.15
12.43,-0.86,2.59,0.93,0.89
12.87,-2.12,1.77,1.06,1.17
11.96,-0.86,2.24,1.31,1.40
10.59,-0.24,2.43,1.60,1.69
8.67,-0.35,2.31,1.68,1.93
7.81,-1.33,1.84,1.76,2.29
7.37,-2.00,1.65,1.77,2.43
7.41,-2.28,2.08,1.73,2.36
7.53,-2.31,2.47,1.60,2.02
6.63,-2.31,2.63,1.38,1.54
6.86,-3.26,2.75,1.17,1.24
8.20,-5.10,3.06,0.65,0.52
10.00,-5.61,3.88,-0.11,-0.49
11.18,-4.47,3.69,-0.68,-1.11
9.81,-0.12,4.16,-0.87,-1.24
8.87,1.14,3.73,-0.71,-1.15
10.36,-0.08,3.10,-0.70,-1.27
9.53,0.47,3.37,-0.94,-1.30
8.24,1.49,3.69,-1.12,-1.28
7.53,0.20,3.06,-1.11,-1.30
6.79,-0.82,3.06,-0.85,-1.34
6.59,-0.51,3.45,-0.81,-1.31
6.71,-1.33,3.88,-0.88,-1.27
7.37,-2.31,3.77,-0.92,-1.31
7.53,-2.55,4.00,-0.86,-1.28
7.57,-2.31,4.43,-0.81,-1.04
8.94,-2.39,4.20,-0.80,-0.79
10.00,-3.77,3.96,-0.63,-0.71
10.87,-2.94,5.18,-0.39,-0.52
15.93,-5.18,5.06,-0.55,-0.58
15.34,-2.04,3.69,-0.16,-0.57
12.71,0.08,3.30,0.76,0.32
11.53,-2.79,2.16,0.85,0.86
9.49,-2.82,2.75,0.79,0.98
8.94,-1.57,3.18,0.92,1.21
7.34,-1.37,3.02,1.15,1.56
6.12,-2.24,2.59,1.31,1.76
7.22,-2.59,2.20,1.26,1.79
8.28,-2.28,2.43,1.27,1.70
8.75,-1.84,2.43,1.34,1.54
9.02,-1.77,2.20,1.36,1.38
8.36,-2.00,2.00,1.33,1.25
8.51,-2.39,2.31,1.15,0.99
8.90,-2.47,2.67,0.87,0.61
9.65,-2.51,3.06,0.67,0.30
10.87,-3.06,4.00,0.31,-0.20
11.73,-2.98,4.39,-0.26,-0.89
9.57,-0.04,4.82,-0.47,-1.07
8.87,0.43,5.02,-0.64,-0.86
9.96,-0.35,4.28,-0.92,-0.98
8.55,0.63,4.28,-0.93,-1.02
6.86,0.51,3.92,-0.82,-1.01
6.35,0.04,3.41,-0.69,-1.04
5.22,-0.75,3.26,-0.50,-1.09
5.22,-1.57,3.26,-0.49,-1.10
5.73,-2.24,3.65,-0.51,-1.11
6.63,-2.28,3.96,-0.50,-1.13
6.98,-1.73,3.84,-0.33,-0.97
7.26,-1.45,3.45,-0.20,-0.79
8.04,-1.84,3.45,-0.10,-0.57
9.22,-2.04,3.73,-0.05,-0.44
10.12,-2.47,3.61,0.00,-0.37
9.81,-2.31,3.65,0.10,-0.25
9.65,-2.24,4.39,0.20,0.02
12.51,-3.69,3.65,0.11,-0.05
14.32,-3.37,3.37,0.39,-0.15
13.81,-2.12,3.65,0.64,-0.10
14.24,-1.88,3.26,0.63,-0.10
13.38,-0.55,3.10,0.87,0.15
10.98,0.24,2.94,1.18,0.55
8.83,-0.82,2.39,1.31,0.74
7.73,-2.39,2.08,1.46,0.80
6.98,-2.90,2.12,1.54,0.62
6.43,-2.98,2.20,1.58,0.44
6.35,-2.55,2.35,1.63,0.18
5.77,-3.22,2.90,1.60,0.01
6.39,-4.16,3.22,1.34,-0.41
6.86,-4.55,3.45,1.09,-0.94
6.86,-4.00,3.49,1.00,-1.19
6.35,-3.96,3.14,0.94,-1.42
6.12,-4.00,3.26,0.92,-1.53
6.47,-5.10,3.37,0.88,-1.60
7.22,-5.41,3.77,0.80,-1.77
8.08,-5.49,4.20,0.71,-1.86
9.92,-4.98,4.51,0.67,-1.89
10.20,-4.20,4.86,0.64,-1.83
10.40,-2.98,5.22,0.61,-1.80
9.22,-1.80,5.14,0.55,-1.77
7.34,-1.69,4.75,0.38,-1.47
6.83,-2.75,4.98,0.15,-1.23
9.53,-4.35,5.18,-0.25,-1.33
9.53,-1.69,4.90,-0.56,-1.48
8.20,-0.16,4.28,-0.49,-1.25
6.98,-0.82,2.82,-0.23,-1.08
6.79,-1.61,2.16,-0.11,-1.04
6.98,-1.77,2.43,-0.11,-1.07
7.88,-2.24,3.14,-0.23,-1.13
